"","log2FoldChange","padj","Factor"
"ko:K02976",0.120140353169528,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K02978",0.0322648534654052,0.930134197058459,"Menthol_Menthol_vs_Control"
"ko:K02979",0.182566498690665,0.721305770260018,"Menthol_Menthol_vs_Control"
"ko:K02980",0.382840021079868,0.343309265505874,"Menthol_Menthol_vs_Control"
"ko:K02981",-0.100169715833973,0.664976489215196,"Menthol_Menthol_vs_Control"
"ko:K02983",0.0570360031022215,0.868322886773286,"Menthol_Menthol_vs_Control"
"ko:K02984",0.0220793017228496,0.921607288979043,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.185115601000025,0.442693322000282,"Menthol_Menthol_vs_Control"
"ko:K02987",0.0285599784372875,0.91167403471404,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.232637199714324,0.452965310027853,"Menthol_Menthol_vs_Control"
"ko:K02992",0.125567661231965,0.634711431944284,"Menthol_Menthol_vs_Control"
"ko:K02993",0.126462887586075,0.655976169857149,"Menthol_Menthol_vs_Control"
"ko:K02995",-0.115199506591234,0.693127308406562,"Menthol_Menthol_vs_Control"
"ko:K02997",0.17588464102924,0.341683092267723,"Menthol_Menthol_vs_Control"
"ko:K02998",0.294558407561477,0.0794344235653444,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.450218117761951,NA,"Menthol_Menthol_vs_Control"
"ko:K03008",-0.0430447025947851,NA,"Menthol_Menthol_vs_Control"
"ko:K03012",-0.5347762733436,NA,"Menthol_Menthol_vs_Control"
"ko:K03014",-0.882908204872712,NA,"Menthol_Menthol_vs_Control"
"ko:K03015",-2.17344314952068,NA,"Menthol_Menthol_vs_Control"
"ko:K03017",-1.05503597873747,NA,"Menthol_Menthol_vs_Control"
"ko:K03030",-0.443991162172141,NA,"Menthol_Menthol_vs_Control"
"ko:K03031",-0.85214165768557,0.398475373273139,"Menthol_Menthol_vs_Control"
"ko:K03038",-1.22200431314951,NA,"Menthol_Menthol_vs_Control"
"ko:K03065",-1.77287732890513,NA,"Menthol_Menthol_vs_Control"
"ko:K03083",-0.647731504318447,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K03094",-0.367440415512984,0.790962300967678,"Menthol_Menthol_vs_Control"
"ko:K03109",-1.45015134516221,NA,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.493188088780398,0.255045082448202,"Menthol_Menthol_vs_Control"
"ko:K03115",-0.299583151496254,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K03123",0.208434691433557,NA,"Menthol_Menthol_vs_Control"
"ko:K03231",-0.105670446804291,0.460774957050357,"Menthol_Menthol_vs_Control"
"ko:K03232",-0.0594911874732356,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K03233",0.112995989193485,0.629345884974278,"Menthol_Menthol_vs_Control"
"ko:K03234",-0.0237659446370184,0.902666269887418,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.74744324329316,0.256081320979683,"Menthol_Menthol_vs_Control"
"ko:K03237",-0.487968582381525,0.655976169857149,"Menthol_Menthol_vs_Control"
"ko:K03246",0.0373384255400131,0.965188879200481,"Menthol_Menthol_vs_Control"
"ko:K03247",-1.36728082138351,0.0201348630848994,"Menthol_Menthol_vs_Control"
"ko:K03250",-0.60496237611857,0.513201579194786,"Menthol_Menthol_vs_Control"
"ko:K03251",-0.245340962365544,0.798242448460197,"Menthol_Menthol_vs_Control"
"ko:K03262",-0.469746867519571,0.434123274797239,"Menthol_Menthol_vs_Control"
"ko:K03263",-0.188862635722558,0.575429867107093,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.441213161518231,0.249220289247855,"Menthol_Menthol_vs_Control"
"ko:K03521",-0.166144625391021,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.300611053738166,0.772877324042209,"Menthol_Menthol_vs_Control"
"ko:K03626",0.0641948559051021,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K03627",-0.803404445956733,0.445762429532184,"Menthol_Menthol_vs_Control"
"ko:K03635",-1.38338965284635,NA,"Menthol_Menthol_vs_Control"
"ko:K03661",-0.201367662352805,0.841155653874509,"Menthol_Menthol_vs_Control"
"ko:K03768",-0.31034119412189,0.627776444313096,"Menthol_Menthol_vs_Control"
"ko:K03781",0.917582317626812,2.41368126344462e-07,"Menthol_Menthol_vs_Control"
"ko:K03868",-0.152140170234953,NA,"Menthol_Menthol_vs_Control"
"ko:K03872",-0.161209647821234,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K03873",-0.706731461639768,0.305802904985839,"Menthol_Menthol_vs_Control"
"ko:K03936",-0.16201788638022,0.881258908013571,"Menthol_Menthol_vs_Control"
"ko:K03942",-0.56448181117735,0.629345884974278,"Menthol_Menthol_vs_Control"
"ko:K03943",0.142164841717298,NA,"Menthol_Menthol_vs_Control"
"ko:K03949",0.465258714263445,NA,"Menthol_Menthol_vs_Control"
"ko:K03950",0.383339522303328,NA,"Menthol_Menthol_vs_Control"
"ko:K04043",-0.729018194143309,0.391572951224863,"Menthol_Menthol_vs_Control"
"ko:K04077",0.743234219987756,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K04078",-0.733537817314238,NA,"Menthol_Menthol_vs_Control"
"ko:K04079",-1.36167338412286,4.96544500417297e-08,"Menthol_Menthol_vs_Control"
"ko:K04345",-0.127634546247962,0.88140782997269,"Menthol_Menthol_vs_Control"
"ko:K04348",-0.161442547160294,NA,"Menthol_Menthol_vs_Control"
"ko:K04354",0.0537182852996024,0.945677741681666,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.634670805150225,0.254451934361362,"Menthol_Menthol_vs_Control"
"ko:K04369",-0.625872138008154,0.577673353766057,"Menthol_Menthol_vs_Control"
"ko:K04370",-0.836399504373109,NA,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.281339196065868,NA,"Menthol_Menthol_vs_Control"
"ko:K04392",0.683420280438676,NA,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.516645122855968,0.000881147520844212,"Menthol_Menthol_vs_Control"
"ko:K04431",-0.761254873681563,NA,"Menthol_Menthol_vs_Control"
"ko:K04444",-0.505557612207523,0.460774957050357,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.100359832937203,0.870566566410712,"Menthol_Menthol_vs_Control"
"ko:K04500",-0.94157166912968,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K04503",0.37801031031151,0.249220289247855,"Menthol_Menthol_vs_Control"
"ko:K04505",-0.297677905926939,0.77627216230561,"Menthol_Menthol_vs_Control"
"ko:K04536",-0.314788958046441,0.337448685852568,"Menthol_Menthol_vs_Control"
"ko:K04552",-0.755566959918051,0.206472078091407,"Menthol_Menthol_vs_Control"
"ko:K04565",0.970103060422757,0.337448685852568,"Menthol_Menthol_vs_Control"
"ko:K04567",-0.670641765138247,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K04630",-0.419921193408753,0.15369028206798,"Menthol_Menthol_vs_Control"
"ko:K04635",-1.17921632816861,NA,"Menthol_Menthol_vs_Control"
"ko:K04712",0.329575334316921,0.254451934361362,"Menthol_Menthol_vs_Control"
"ko:K04739",0.576602315052624,0.629345884974278,"Menthol_Menthol_vs_Control"
"ko:K04802",-0.891877669506529,NA,"Menthol_Menthol_vs_Control"
"ko:K05687",0.431225586887523,NA,"Menthol_Menthol_vs_Control"
"ko:K05692",0.656593156615954,0.00252992231234007,"Menthol_Menthol_vs_Control"
"ko:K05752",-0.641300084273949,NA,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.321114458840684,0.588060977303918,"Menthol_Menthol_vs_Control"
"ko:K05755",-0.633128249913355,0.301004646948143,"Menthol_Menthol_vs_Control"
"ko:K05756",-0.730387387417358,0.333185516456902,"Menthol_Menthol_vs_Control"
"ko:K05757",0.289982436787876,0.391572951224863,"Menthol_Menthol_vs_Control"
"ko:K05758",-0.533513491047104,0.254451934361362,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.158277613323774,0.664976489215196,"Menthol_Menthol_vs_Control"
"ko:K05863",0.100853884186648,0.735755993241886,"Menthol_Menthol_vs_Control"
"ko:K06215",-0.798947944206544,0.255045082448202,"Menthol_Menthol_vs_Control"
"ko:K06268",-0.623650811131321,0.38831453337008,"Menthol_Menthol_vs_Control"
"ko:K06269",-0.581742043261459,0.252163588508522,"Menthol_Menthol_vs_Control"
"ko:K06685",-0.569883302123036,0.46767167628307,"Menthol_Menthol_vs_Control"
"ko:K06689",0.157089592952645,0.787336819119844,"Menthol_Menthol_vs_Control"
"ko:K06704",-0.0635688898265307,0.964833857827015,"Menthol_Menthol_vs_Control"
"ko:K06875",-0.406296698456208,NA,"Menthol_Menthol_vs_Control"
"ko:K06943",0.0885454477410958,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K07151",0.227668544310604,0.655976169857149,"Menthol_Menthol_vs_Control"
"ko:K07192",-0.144639112231984,0.797848306520593,"Menthol_Menthol_vs_Control"
"ko:K07205",0.388148735017704,0.249898096252149,"Menthol_Menthol_vs_Control"
"ko:K07213",-1.59814816289621,NA,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.152012782223542,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K07374",0.124191447987791,0.809697400296152,"Menthol_Menthol_vs_Control"
"ko:K07375",0.620214930902987,0.00252992231234007,"Menthol_Menthol_vs_Control"
"ko:K07509",-0.0950909811117929,0.91328924936966,"Menthol_Menthol_vs_Control"
"ko:K07827",-0.0233258998654008,0.965188879200481,"Menthol_Menthol_vs_Control"
"ko:K07874",-0.434112832254927,0.0368542964975442,"Menthol_Menthol_vs_Control"
"ko:K07887",-0.317025950500293,0.366124503911796,"Menthol_Menthol_vs_Control"
"ko:K07890",-0.249696162433415,0.728941572452607,"Menthol_Menthol_vs_Control"
"ko:K07891",-1.12544094589845,NA,"Menthol_Menthol_vs_Control"
"ko:K07893",-0.692515318909313,0.514848958525384,"Menthol_Menthol_vs_Control"
"ko:K07897",0.173964584935727,0.659218621256198,"Menthol_Menthol_vs_Control"
"ko:K07901",0.323302679414886,0.760215972636305,"Menthol_Menthol_vs_Control"
"ko:K07910",-0.243905036461551,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K07918",-0.772543036650472,0.255045082448202,"Menthol_Menthol_vs_Control"
"ko:K07936",-0.802203651553746,0.0720239725085382,"Menthol_Menthol_vs_Control"
"ko:K07937",0.0995290892546299,0.735755993241886,"Menthol_Menthol_vs_Control"
"ko:K07950",-0.633711974310749,NA,"Menthol_Menthol_vs_Control"
"ko:K07952",0.123008032543497,NA,"Menthol_Menthol_vs_Control"
"ko:K07953",-0.577018477634769,0.575429867107093,"Menthol_Menthol_vs_Control"
"ko:K07955",-0.396586869877549,0.460774957050357,"Menthol_Menthol_vs_Control"
"ko:K07976",-0.0889966722406286,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K08007",-0.528674539526646,0.192656495050098,"Menthol_Menthol_vs_Control"
